Time (s),TCD (mV),TVOC (ppb)
0.009999999999998,-2.4358102766798844,562.422360248449
0.3299999999999983,-1.2221840767927452,275.121626199888
0.5499999999999972,-0.10706124996276367,39.17148206484603
0.759999999999998,0.9095582038100609,-145.42807215667676
1.1000000000000014,1.8276742845257283,-278.67703646468044
1.3200000000000005,2.647286992184238,-360.575410859165
1.5399999999999991,3.3683963267855903,-391.1231953401307
1.8699999999999968,3.9910022883297858,-370.32038990757724
2.0799999999999983,4.515104876816824,-298.16699456150445
2.299999999999997,4.940704092246704,-174.66300930191255
2.619999999999997,5.267799934619349,0.19156587119967128
2.8500000000000014,5.805933311539828,189.53841124550226
3.0700000000000003,6.194465511605218,472.04642039881617
3.289999999999999,6.361431840470809,763.2847335730519
3.61,6.359558679307001,1151.9803857469592
3.8299999999999983,6.164468780647226,1617.7551487413948
4.149999999999999,5.72762667538406,2140.063092513862
4.380000000000003,5.043141549525928,2692.2092186988816
4.600000000000001,4.1452598888525,3263.39326577308
4.920000000000002,2.9764040536121645,3832.604445897296
5.140000000000001,1.6593592677344429,4378.9437724746
5.369999999999997,0.29792415822157897,4900.8538738149
5.590000000000003,-1.0548283752860308,5369.363844393514
5.909999999999997,-2.428865642366662,5751.8636809414
6.130000000000003,-3.8307420725725296,6029.383131742312
6.350000000000001,-5.1437626675381525,6213.250081725962
6.670000000000002,-6.3298430859755355,6408.431513566431
6.890000000000001,-7.462458319712027,6497.939522719747
7.109999999999999,-8.428653154625366,6470.773782281696
7.439999999999998,-9.15291271657373,6338.9091206275625
7.659999999999997,-9.634321673749275,6319.876757110073
7.880000000000003,-9.973089244850977,6249.862046420308
8.200000000000003,-10.104612618502497,6128.7832625039955
8.420000000000002,-9.98977770513217,5986.856815952837
8.64,-9.770134030728808,5886.404380516422
8.979999999999997,-9.511023210199316,5765.221314154867
9.200000000000005,-9.18781954887209,5628.966328865559
9.409999999999997,-8.782791762013664,5511.863354037187
9.740000000000002,-8.413259235044109,5385.061131088512
9.96,-8.054344557044745,5250.0993788819105
10.170000000000002,-7.704557044785751,5114.666884602736
10.509999999999998,-7.306214449166209,5020.6636155605665
10.75,-6.944060150375703,4891.342922523629
10.96,-6.708604118992855,4754.604772801499
11.18,-6.388349133703594,4619.007518796924
11.509999999999998,-5.941660673422502,4516.923177508923
11.729999999999997,-5.399071592023353,4370.964367440276
11.950000000000005,-4.8148120300749895,4219.608368747895
12.270000000000003,-4.058342595619276,4071.034324942732
12.490000000000002,-3.1986106570773494,3946.949329846297
12.700000000000005,-2.2937397842430753,3797.4063419417553
13.04,-1.3965969271002483,3653.0071918927215
13.259999999999998,-0.4360673422686048,3521.378555083309
13.47,0.5703007518797241,3423.4514547237154
13.810000000000002,1.476332134684557,3297.254658385045
14.020000000000003,2.351608368747934,3179.719189277495
14.240000000000002,3.149558679306889,3077.477933965303
14.560000000000002,3.83848643347493,3009.68551814314
14.78,4.300853220006399,2917.3913043477837
15.0,4.555802549852736,2834.855181431799
15.25,4.6303988231446604,2767.7718208564484
15.57,4.529078130107731,2738.997384766223
15.79,4.2675939849622,2672.312847335691
16.0,3.9056489048706613,2606.627002288291
16.33,3.553942464857516,2546.6374632232382
16.549999999999997,3.1293658058186637,2508.277868584468
16.759999999999998,2.650539391957992,2440.3314808760674
17.1,2.126819221967869,2370.5740438051303
17.32,1.6207878391630564,2302.967636482477
17.53,1.0114024190911144,2255.2817914350762
17.86,0.40827067669169975,2188.1657404380194
18.08,0.4760804184373916,2119.125858123539
18.31,-5.078953906505251,2052.1405688133077
18.630000000000003,-36.156760379208336,2003.0951291271363
18.85,-81.0593135011429,1935.9725400457378
19.07,-114.03459300424797,1867.973847662607
19.4,-100.86959463876924,1802.9957502451518
19.61,-46.91814645308842,1750.4691075514618
19.83,41.7246420398818,1685.471395880982
20.16,160.18951945079868,1624.0124223602247
20.37,302.83084995096016,1569.5802549852663
20.590000000000003,463.336619810389,1531.5884275906933
20.92,642.4284112454958,1476.6083687479352
21.14,854.3717587446754,1424.6325596599986
21.36,1081.7886041189774,1378.4919908466618
21.700000000000003,1293.2650212487554,1347.222621771801
21.91,1449.1735894082822,1305.8679306962867
22.130000000000003,1549.3503105589837,1268.200719189259
22.450000000000003,1594.400330173236,1236.757763975137
22.68,1583.9208172605195,1219.7218045112604
22.9,1518.3197973193633,1188.5612945406822
23.23,1397.9982347172074,1159.1431840470573
23.44,1222.6232886564057,1133.5269695978911
23.66,1002.2447008826266,1120.5361229159691
23.880000000000003,778.7369663288544,1092.4903563255805
24.200000000000003,579.3019221967879,1063.0552468126682
24.430000000000007,413.9860575351363,1033.9895390650388
24.65000000000001,263.81854200718817,1011.3004249754673
24.97,133.9799117358596,981.205622752519
25.19,30.564998365478587,950.9228506047588
25.41,-41.69421706439938,922.1356652500681
25.730000000000004,-77.64207257273497,902.1176855181299
25.950000000000003,-71.38256292906074,874.2929061784769
26.290000000000006,-27.380817260542262,846.250735534476
26.510000000000005,18.103409610983707,819.655116050985
26.730000000000004,43.528241255311556,800.1948349133587
26.950000000000003,44.42050997057794,773.2579274272524
27.27,45.20805818894994,746.5858123569684
27.489999999999995,46.19427263811638,721.7149395227092
27.71,46.64476953252628,703.0885910428141
28.03,46.96754821837129,678.6086956521639
28.25,47.19813664596202,655.2974828375189
28.47,47.319061784896384,634.5312193527203
28.8,47.27584831644267,620.2576005230376
29.010000000000005,47.08469761359875,598.9355998692295
29.260000000000005,46.79619810395509,578.4602811376182
29.480000000000004,46.3212128146449,559.9627329192464
29.8,45.81409937888156,547.2013729977036
30.02,45.213828048381394,530.3631905851507
30.340000000000003,44.661238966982204,514.7329192546508
30.56,43.97580254985243,504.1418764301986
30.790000000000006,43.24365478914631,495.27852239293156
31.010000000000005,42.47923831317373,480.32003922849896
31.340000000000003,41.74984962405959,465.7293233082638
31.55,41.08132069303644,454.83883622098057
31.77,40.425174893755624,444.6953252696894
32.09,39.758741418763854,429.819221967957
32.31999999999999,39.015488721804076,415.0166721150641
32.870000000000005,38.292651193200015,403.80810722457727
33.08,37.50206276560923,392.7139588100628
33.290000000000006,36.76532526969551,377.9839816933583
33.620000000000005,35.99178816606698,363.2965021248721
33.849999999999994,35.23082379862666,350.59692710035443
34.06999999999999,34.52246812683849,338.83066361555564
34.400000000000006,33.88579274272609,324.68747956848165
34.61,33.32960771493922,311.42857142856684
34.83,32.87114416475946,301.2530238640034
35.16,32.593726708074286,292.5027786858407
35.370000000000005,32.51199411572389,281.7152664269327
