Time (s),TCD (mV),TVOC (ppb)
1.15,0.0,0.0
1.37,6.949999999999818,0.0
1.71,16.350000000000364,0.0
1.92,19.93000000000029,0.0
2.14,21.05999999999949,0.0
2.46,23.76000000000022,0.0
2.68,24.800000000000185,0.0
2.91,27.90999999999985,0.0
3.14,33.02000000000044,0.0
3.47,34.61000000000058,0.0
3.69,32.61999999999989,0.0
3.9,31.68000000000029,0.0
4.23,32.77000000000044,0.0
4.47,33.88000000000011,0.0
4.69,33.469999999999345,0.0
5.01,33.94000000000051,0.0
5.23,32.22999999999956,0.0
5.46,29.27000000000044,0.0
5.69,27.02000000000044,0.0
6.02,26.96000000000004,0.0
6.23,26.13000000000011,0.0
6.45,26.56999999999971,0.0
6.78,24.969999999999345,0.0
7.01,27.100000000000364,0.0
7.24,32.14999999999964,0.0
7.56,35.5,0.0
7.78,40.48999999999978,0.0
8.0,46.86999999999989,0.0
8.33,52.51000000000022,0.0
8.57,53.92000000000007,0.0
8.78,54.14999999999964,0.0
9.0,54.71000000000004,0.0
9.32,56.81999999999971,0.0
9.54,54.86000000000058,0.0
9.76,50.36999999999989,0.0
10.09,48.57999999999993,0.0
10.31,46.98999999999978,0.0
10.53,46.96000000000004,0.0
10.86,46.39999999999964,0.0
11.07,47.96999999999935,0.0
11.29,49.25,0.0
11.63,47.98999999999978,0.0
11.84,44.77000000000044,0.0
12.07,44.59000000000015,0.0
12.39,46.60000000000037,0.0
12.61,50.75,0.0
12.82,50.69000000000051,0.0
13.16,51.25,0.0
13.39,51.80000000000018,0.0
13.61,53.21999999999935,0.0
13.83,54.78999999999997,0.0
14.15,58.69000000000051,0.0
14.38,61.53999999999997,0.0
14.6,61.17000000000007,0.0
14.92,60.76000000000022,0.0
15.13,59.68000000000029,0.0
15.36,62.27000000000044,0.0
15.69,60.17000000000007,0.0
15.9,57.26000000000022,0.0
16.12,52.44000000000051,0.0
16.45,50.61999999999989,0.0
16.68,48.80000000000018,0.0
16.9,46.52000000000044,0.0
17.11,45.92000000000007,0.0
17.44,42.81999999999971,7.0
17.65,37.38000000000011,7.0
17.98,31.850000000000364,7.0
18.19,26.39999999999964,7.0
18.43,24.43000000000029,0.0
18.64,23.43000000000029,0.0
18.97,19.86999999999989,0.0
19.19,16.409999999999854,0.0
19.4,15.88000000000011,6.0
19.74,14.680000000000293,6.0
19.96,13.899999999999636,6.0
20.18,12.479999999999563,6.0
20.5,11.149999999999636,4.0
20.72,10.729999999999563,4.0
20.93,9.579999999999927,4.0
21.26,9.840000000000146,4.0
21.48,10.860000000000582,4.0
21.7,11.539999999999964,4.0
22.03,9.840000000000146,4.0
22.24,7.100000000000364,4.0
22.46,5.969999999999345,0.0
22.8,4.8400000000001455,0.0
23.02,2.610000000000582,0.0
23.23,2.9899999999997817,0.0
23.78,2.360000000000582,0.0
23.99,-0.8899999999994179,0.0
24.22,-2.590000000000145,0.0
24.55,-4.430000000000291,5.0
24.77,-6.389999999999418,5.0
25.1,-7.270000000000437,5.0
25.31,-12.899999999999636,5.0
25.53,-13.649999999999636,5.0
25.86,-14.530000000000657,5.0
26.07,-16.23999999999978,5.0
26.29,-18.92000000000008,5.0
26.52,-20.13000000000011,6.0
26.85,-23.40999999999985,6.0
27.06,-27.050000000000185,6.0
27.28,-29.36999999999989,6.0
27.6,-32.36999999999989,7.0
27.82,-32.38000000000011,7.0
28.05,-35.52000000000044,7.0
28.38,-37.61000000000058,7.0
28.59,-39.88999999999942,9.0
28.81,-41.92000000000007,9.0
29.14,-47.30999999999949,9.0
29.35,-52.69999999999982,9.0
29.57,-59.96999999999935,10.0
29.91,-66.21000000000004,10.0
30.13,-72.36999999999989,10.0
30.34,-78.28000000000065,10.0
30.67,-85.19000000000051,5.0
30.89,-92.94999999999982,5.0
31.12,-100.55000000000018,5.0
31.33,-110.71999999999936,5.0
31.66,-118.80000000000018,0.0
31.88,-122.84000000000016,0.0
32.2,-121.86999999999988,0.0
32.42,-122.18000000000028,0.0
32.64,-121.32999999999991,8.0
32.98,-119.27000000000044,8.0
33.21,-117.28999999999996,8.0
33.43,-113.63000000000012,8.0
33.64,-111.28000000000064,4.0
33.96,-108.89999999999964,4.0
34.18,-103.36999999999988,4.0
34.41,-101.89999999999964,4.0
34.74,-102.05999999999948,6.0
34.95,-100.14999999999964,6.0
35.17,-98.22999999999956,6.0
35.49,-96.98999999999978,6.0
35.71,-95.73999999999978,3.0
35.93,-95.23999999999978,3.0
36.27,-91.73999999999978,3.0
36.49,-86.19000000000051,3.0
36.7,-81.55000000000018,3.0
37.02,-76.72999999999956,3.0
37.24,-71.78000000000065,3.0
37.47,-67.73999999999978,3.0
37.8,-65.71999999999935,2.0
38.02,-64.61999999999989,2.0
38.23,-63.409999999999854,2.0
38.45,-62.56999999999971,2.0
38.79,-63.68000000000029,9.0
39.0,-64.57999999999993,9.0
39.22,-64.86999999999989,9.0
39.54,-63.78999999999997,9.0
39.76,-62.31999999999971,3.0
40.09,-61.46000000000004,3.0
40.32,-60.11999999999989,3.0
40.52,-59.96999999999935,3.0
40.85,-58.27000000000044,0.0
41.08,-55.63999999999942,0.0
41.3,-52.85000000000037,0.0
41.52,-48.63000000000011,0.0
41.85,-46.01000000000022,36.0
42.07,-46.86000000000058,36.0
42.28,-48.73999999999978,36.0
42.6,-48.85000000000037,36.0
42.82,-48.14999999999964,573.0
43.05,-46.72999999999956,573.0
43.38,-44.159999999999854,573.0
43.6,-41.56999999999971,573.0
43.81,-39.32999999999993,2821.0
44.14,-39.02000000000044,2821.0
44.36,-38.77000000000044,2821.0
44.57,-36.44999999999982,2821.0
44.91,-36.44000000000051,5014.0
45.13,-36.46000000000004,5014.0
45.34,-16.090000000000146,5014.0
45.67,-15.86999999999989,5014.0
45.89,-17.659999999999854,5606.0
46.1,-20.13000000000011,5606.0
46.43,-21.19999999999981,5606.0
46.65,-20.78000000000065,5606.0
46.88,-21.63000000000011,5229.0
47.1,-18.88999999999941,5229.0
47.42,-16.340000000000146,5229.0
47.64,-15.389999999999418,5229.0
