Time (s),TCD (mV),TVOC (ppb)
0.15,0.0,20.0
1.34,1.4799999999995634,0.0
1.56,3.880000000000109,0.0
1.77,5.989999999999782,0.0
2.12,6.569999999999709,0.0
2.33,8.38000000000011,0.0
2.55,11.530000000000657,0.0
2.87,14.25,0.0
3.09,17.44000000000051,0.0
3.31,20.550000000000185,0.0
3.65,23.18000000000029,0.0
3.87,24.89999999999964,0.0
4.19,25.47000000000025,0.0
4.41,27.17000000000008,0.0
4.62,28.78000000000065,0.0
4.84,30.289999999999964,0.0
5.17,30.46000000000004,0.0
5.38,31.43000000000029,0.0
5.61,32.63999999999942,0.0
5.94,31.80999999999949,0.0
6.15,30.200000000000728,0.0
6.37,28.36999999999989,0.0
6.7,27.110000000000586,0.0
6.93,24.43000000000029,0.0
7.14,21.61999999999989,0.0
7.47,17.389999999999418,0.0
7.68,13.639999999999418,0.0
7.9,10.550000000000182,0.0
8.12,6.119999999999891,0.0
8.45,4.130000000000109,0.0
8.68,2.700000000000728,0.0
8.9,1.6499999999996362,0.0
9.22,0.680000000000291,0.0
9.44,0.0799999999999272,0.0
9.65,-0.6199999999998909,0.0
9.99,-0.3899999999994179,0.0
10.21,0.3600000000005821,0.0
10.42,-0.680000000000291,0.0
10.75,-1.3299999999999272,0.0
10.96,-1.9699999999993447,0.0
11.2,-2.289999999999964,0.0
11.53,-1.8699999999998909,0.0
11.75,-2.7600000000002183,0.0
11.97,-3.090000000000145,0.0
12.19,-3.139999999999418,0.0
12.51,-4.569999999999709,0.0
12.73,-6.350000000000364,0.0
13.05,-7.920000000000073,0.0
13.29,-9.05999999999949,0.0
13.52,-10.460000000000036,0.0
13.74,-12.299999999999272,0.0
14.06,-14.850000000000364,0.0
14.28,-17.100000000000364,0.0
14.5,-18.969999999999345,0.0
14.82,-20.40999999999985,0.0
15.04,-20.219999999999345,0.0
15.27,-20.38000000000011,0.0
15.6,-20.14999999999964,0.0
15.82,-19.93000000000029,0.0
16.02,-21.25,0.0
16.26,-21.52000000000044,0.0
16.58,-20.729999999999563,0.0
16.8,-19.80999999999949,0.0
17.02,-19.360000000000586,0.0
17.35,-18.829999999999927,0.0
17.56,-19.90999999999985,5.0
17.78,-21.23999999999978,5.0
18.11,-21.799999999999272,5.0
18.33,-22.039999999999964,5.0
18.55,-22.299999999999272,6.0
18.87,-22.969999999999345,6.0
19.09,-23.729999999999563,6.0
19.3,-24.65999999999985,6.0
19.65,-25.86999999999989,4.0
19.86,-26.14999999999964,4.0
20.08,-26.0,4.0
20.41,-25.65999999999985,4.0
20.62,-27.19000000000051,5.0
20.84,-28.55999999999949,5.0
21.17,-27.46000000000004,5.0
21.38,-26.94999999999981,5.0
21.6,-27.38999999999941,0.0
21.94,-27.0,0.0
22.16,-27.279999999999745,0.0
22.38,-28.779999999999745,0.0
22.7,-28.219999999999345,1.0
22.92,-28.11999999999989,1.0
23.14,-27.340000000000146,1.0
23.47,-28.01000000000022,1.0
23.68,-28.80999999999949,2.0
23.9,-29.0,2.0
24.13,-29.36999999999989,2.0
24.46,-28.88999999999941,2.0
24.68,-27.840000000000146,3.0
24.89,-25.88999999999941,3.0
25.22,-25.11999999999989,3.0
25.44,-24.110000000000586,3.0
25.76,-22.23999999999978,0.0
25.98,-19.469999999999345,0.0
26.2,-17.25,0.0
26.42,-16.029999999999745,0.0
26.75,-14.430000000000293,0.0
26.98,-14.270000000000437,0.0
27.19,-14.579999999999927,0.0
27.52,-15.05999999999949,0.0
27.74,-15.949999999999818,3.0
27.95,-16.920000000000073,3.0
28.27,-18.5,3.0
28.51,-18.5,3.0
28.72,-19.80999999999949,0.0
29.05,-20.40999999999985,0.0
29.27,-21.39999999999964,0.0
29.49,-22.5,0.0
29.81,-23.52000000000044,0.0
30.03,-24.68000000000029,0.0
30.25,-25.610000000000586,0.0
30.58,-26.46000000000004,0.0
30.8,-26.36999999999989,0.0
31.01,-27.549999999999272,0.0
31.34,-27.039999999999964,0.0
31.56,-26.75,0.0
31.78,-26.21000000000004,4.0
32.1,-24.76000000000022,4.0
32.32,-22.850000000000364,4.0
32.54,-20.610000000000586,4.0
32.87,-18.14999999999964,3.0
33.09,-16.26000000000022,3.0
33.31,-15.039999999999964,3.0
33.65,-14.449999999999818,3.0
33.86,-15.149999999999636,8.0
34.08,-15.649999999999636,8.0
34.3,-16.270000000000437,8.0
34.62,-17.639999999999418,8.0
34.84,-19.27000000000044,2.0
35.06,-20.799999999999272,2.0
35.39,-22.42000000000008,2.0
35.6,-23.81999999999971,2.0
35.93,-25.090000000000146,7.0
36.15,-25.479999999999563,7.0
36.38,-24.19999999999981,7.0
36.6,-22.94999999999981,7.0
36.92,-21.75,1.0
37.14,-20.360000000000586,1.0
37.36,-19.30999999999949,1.0
37.68,-18.06999999999971,1.0
37.9,-18.299999999999272,0.0
38.12,-18.30999999999949,0.0
38.46,-19.61999999999989,0.0
38.68,-21.11999999999989,0.0
38.89,-22.829999999999927,3.0
39.22,-23.860000000000586,3.0
39.43,-24.329999999999927,3.0
39.65,-25.969999999999345,3.0
39.98,-27.52000000000044,0.0
40.21,-28.94000000000051,0.0
40.42,-29.539999999999964,0.0
40.64,-29.14999999999964,0.0
40.97,-26.779999999999745,7.0
41.19,-24.65999999999985,7.0
41.51,-22.80999999999949,7.0
41.73,-21.14999999999964,7.0
41.95,-20.11999999999989,2.0
42.27,-18.55999999999949,2.0
42.51,-15.44000000000051,2.0
42.72,-13.239999999999782,2.0
42.94,-11.590000000000146,2.0
43.27,-10.549999999999272,2.0
43.48,-10.029999999999744,2.0
43.7,-9.350000000000364,2.0
44.03,-9.299999999999272,7.0
44.25,-9.590000000000146,7.0
44.46,-10.260000000000218,7.0
44.79,-10.149999999999636,7.0
45.01,-11.420000000000073,6.0
45.23,-12.469999999999343,6.0
45.57,-11.319999999999707,6.0
45.79,-10.680000000000293,6.0
46.01,-10.649999999999636,3.0
46.33,-9.180000000000293,3.0
46.55,-7.920000000000073,3.0
46.77,-7.549999999999272,3.0
47.09,-6.020000000000437,5.0
47.31,-5.029999999999745,5.0
47.53,-3.8400000000001455,5.0
47.85,-3.369999999999891,5.0
48.07,-3.949999999999818,0.0
48.29,-3.960000000000037,0.0
48.52,-3.360000000000582,0.0
48.85,-5.369999999999891,0.0
49.07,-7.350000000000364,4.0
49.29,-9.090000000000146,4.0
49.61,-10.610000000000582,4.0
49.83,-12.539999999999964,4.0
50.16,-14.100000000000364,4.0
50.38,-14.350000000000364,4.0
50.59,-14.44000000000051,4.0
50.82,-15.449999999999818,4.0
51.14,-16.139999999999418,5.0
51.36,-16.840000000000146,5.0
51.58,-16.81999999999971,5.0
51.9,-15.610000000000582,5.0
52.12,-15.420000000000073,6.0
52.34,-15.430000000000293,6.0
52.67,-14.420000000000073,6.0
52.9,-14.350000000000364,6.0
53.12,-14.520000000000437,4.0
53.44,-14.739999999999782,4.0
53.66,-14.770000000000437,4.0
53.88,-13.399999999999636,4.0
54.2,-11.86999999999989,1.0
54.42,-10.909999999999854,1.0
54.64,-9.350000000000364,1.0
54.96,-7.809999999999491,1.0
55.19,-8.350000000000364,0.0
55.41,-8.699999999999818,0.0
55.73,-9.909999999999854,0.0
55.95,-10.180000000000293,0.0
56.17,-10.979999999999563,0.0
56.49,-11.590000000000146,0.0
56.71,-13.110000000000582,0.0
56.94,-14.549999999999272,0.0
57.27,-15.610000000000582,5.0
57.49,-16.639999999999418,5.0
57.7,-14.930000000000293,5.0
57.92,-13.600000000000364,5.0
58.25,-11.850000000000364,1.0
58.46,-10.659999999999854,1.0
58.69,-8.969999999999345,1.0
59.02,-9.199999999999818,1.0
59.24,-8.329999999999927,0.0
59.46,-5.850000000000364,0.0
59.79,1.690000000000509,0.0
60.0,10.170000000000073,0.0
60.22,14.020000000000437,8.0
60.55,49.909999999999854,8.0
60.76,427.97000000000025,8.0
60.98,993.23,8.0
61.31,1581.9700000000005,5751.0
61.54,1587.77,5751.0
61.76,1571.0300000000002,5751.0
62.08,1562.6799999999998,5751.0
62.3,1540.7800000000002,45221.0
62.52,1518.0,45221.0
62.84,1499.54,45221.0
63.06,1449.54,45221.0
63.28,1057.4700000000005,14972.0
63.6,479.1300000000001,14972.0
63.83,-123.19999999999982,14972.0
64.05,-141.61000000000058,14972.0
64.38,-137.86000000000058,7171.0
64.6,-143.84000000000017,7171.0
64.81,-142.44999999999982,7171.0
65.14,-140.15999999999983,7171.0
65.36,-139.6300000000001,4713.0
65.58,-139.4300000000003,4713.0
65.9,-138.63999999999942,4713.0
66.12,-138.35000000000036,4713.0
66.34,-138.48999999999978,2960.0
66.68,-138.1800000000003,2960.0
66.9,-138.4400000000005,2960.0
67.11,-138.71000000000004,2960.0
67.44,-138.35000000000036,2233.0
67.65,-138.25,2233.0
67.87,-137.75,2233.0
68.1,-138.02000000000044,2233.0
68.42,-138.67000000000007,1649.0
68.64,-138.5599999999995,1649.0
68.86,-138.6800000000003,1649.0
69.18,-139.0699999999997,1649.0
69.4,-138.90999999999983,1243.0
69.74,-138.86000000000058,1243.0
69.96,-138.77999999999977,1243.0
70.18,-139.0599999999995,1243.0
70.39,-139.3800000000001,1026.0
70.72,-139.09000000000017,1026.0
70.94,-138.71999999999937,1026.0
71.16,-139.07999999999993,1026.0
71.48,-138.32999999999993,835.0
71.7,-137.3800000000001,835.0
71.92,-137.44999999999982,835.0
72.24,-137.4300000000003,835.0
72.47,-137.86000000000058,659.0
72.69,-138.29999999999927,659.0
73.01,-138.79999999999927,659.0
73.23,-138.63999999999942,659.0
73.45,-138.76000000000022,551.0
73.78,-138.57999999999993,551.0
73.99,-139.21000000000004,551.0
74.21,-139.88999999999942,551.0
74.55,-139.35000000000036,483.0
74.77,-139.21999999999937,483.0
74.99,-139.01000000000022,483.0
75.2,-138.46000000000004,483.0
75.53,-137.15999999999983,415.0
75.75,-135.96999999999937,415.0
76.07,-135.40999999999983,415.0
76.29,-134.9400000000005,415.0
76.52,-133.75,360.0
76.74,-132.9300000000003,360.0
77.09,-133.15999999999983,360.0
77.31,-132.75,360.0
77.54,-131.96999999999937,319.0
77.75,-131.40999999999983,319.0
78.08,-131.3099999999995,319.0
78.3,-130.9400000000005,319.0
78.63,-130.0699999999997,285.0
78.85,-129.09000000000017,285.0
79.06,-129.1900000000005,285.0
79.28,-129.3199999999997,285.0
79.61,-129.02999999999977,249.0
79.83,-129.73999999999978,249.0
80.05,-130.02999999999977,249.0
80.37,-131.1300000000001,249.0
80.59,-131.5,229.0
80.81,-132.51000000000022,229.0
81.14,-132.9300000000003,229.0
81.36,-134.01000000000022,229.0
81.57,-134.25,219.0
81.9,-135.07999999999993,219.0
82.13,-135.8800000000001,219.0
82.35,-136.28999999999996,219.0
82.67,-136.96000000000004,199.0
82.89,-136.64999999999964,199.0
83.11,-137.47999999999956,199.0
83.43,-137.52999999999977,199.0
83.66,-138.36000000000058,187.0
83.88,-138.92000000000007,187.0
84.21,-140.0599999999995,187.0
84.42,-140.34000000000017,187.0
84.64,-140.1199999999999,174.0
84.96,-139.75,174.0
85.18,-139.67000000000007,174.0
85.4,-139.72999999999956,174.0
85.74,-138.94999999999982,162.0
85.96,-138.40999999999983,162.0
86.17,-138.3800000000001,162.0
86.39,-138.11000000000058,162.0
86.72,-137.1800000000003,150.0
86.93,-136.34000000000017,150.0
