Time (s),TCD (mV),TVOC (ppb)
0.2800000000000011,15.430000000000293,0.0
0.5,15.010000000000218,0.0
0.7199999999999989,14.100000000000364,0.0
0.9500000000000028,13.94000000000051,0.0
1.2700000000000031,14.289999999999964,0.0
1.490000000000002,14.739999999999782,0.0
1.7000000000000028,13.920000000000073,0.0
2.039999999999999,13.720000000000256,0.0
2.259999999999998,14.229999999999563,0.0
2.479999999999997,14.05999999999949,0.0
2.799999999999997,14.530000000000657,0.0
3.020000000000003,15.260000000000218,5.0
3.240000000000002,16.13000000000011,5.0
3.5600000000000023,15.889999999999418,5.0
3.789999999999999,15.079999999999927,5.0
4.009999999999998,15.050000000000182,0.0
4.329999999999998,14.569999999999707,0.0
4.549999999999997,15.19000000000051,0.0
4.770000000000003,15.0,0.0
5.100000000000001,15.239999999999782,1.0
5.310000000000002,15.520000000000437,1.0
5.539999999999999,14.590000000000146,1.0
5.759999999999998,15.220000000000256,1.0
6.090000000000003,16.18000000000029,3.0
6.299999999999997,17.720000000000255,3.0
6.630000000000003,18.039999999999964,3.0
6.850000000000001,19.19000000000051,3.0
7.060000000000002,19.97000000000025,9.0
7.390000000000001,20.55999999999949,9.0
7.619999999999997,20.93000000000029,9.0
7.840000000000003,21.26000000000022,9.0
8.060000000000002,21.829999999999927,4.0
8.380000000000003,21.46000000000004,4.0
8.600000000000001,21.5,4.0
8.82,21.68000000000029,4.0
9.14,22.22000000000025,7.0
9.36,22.5,7.0
9.579999999999998,21.610000000000586,7.0
9.920000000000002,21.39999999999964,7.0
10.14,21.329999999999927,2.0
10.35,21.38999999999941,2.0
10.68,20.98999999999978,2.0
10.9,20.19000000000051,2.0
11.11,23.800000000000185,1.0
11.450000000000005,23.450000000000728,1.0
11.659999999999997,22.90999999999985,1.0
11.880000000000004,22.51000000000022,1.0
12.200000000000005,23.93000000000029,6.0
12.420000000000002,25.48999999999978,6.0
12.64,26.96000000000004,6.0
12.97,27.78000000000065,6.0
13.200000000000005,30.27000000000044,0.0
13.420000000000002,33.17000000000007,0.0
13.740000000000002,30.46000000000004,0.0
13.96,31.200000000000728,0.0
14.170000000000002,32.48999999999978,5.0
14.509999999999998,33.55999999999949,5.0
14.729999999999997,35.289999999999964,5.0
14.950000000000005,34.96000000000004,5.0
15.270000000000003,34.61999999999989,6.0
15.490000000000002,35.64999999999964,6.0
15.71,35.80000000000018,6.0
15.920000000000002,33.98999999999978,6.0
16.25,33.68000000000029,5.0
16.47,34.64999999999964,5.0
16.700000000000003,35.94000000000051,5.0
17.020000000000003,38.70000000000073,5.0
17.240000000000002,39.48999999999978,0.0
17.46,46.60000000000037,0.0
17.79,51.57999999999993,0.0
18.0,56.61999999999989,0.0
18.22,57.63999999999942,3.0
18.55,58.80999999999949,3.0
18.770000000000003,58.86000000000058,3.0
18.98,57.68000000000029,3.0
19.32,55.68000000000029,0.0
19.54,52.19000000000051,0.0
19.76,50.10000000000037,0.0
20.08,43.78999999999997,0.0
20.3,41.13000000000011,8.0
20.520000000000003,38.55999999999949,8.0
20.840000000000003,60.28999999999997,8.0
21.06,458.71,8.0
21.29,946.77,7.0
21.62,1471.35,7.0
21.840000000000003,1454.67,7.0
22.05,1446.0300000000002,7.0
22.380000000000003,1446.19,49090.0
22.590000000000003,1447.66,49090.0
22.82,1449.87,49090.0
23.04,1448.33,49090.0
23.36,1426.23,17579.0
23.58,1029.63,17579.0
23.91,544.1700000000001,17579.0
24.129999999999995,22.27000000000044,17579.0
24.340000000000003,41.14999999999964,8556.0
24.67,53.59000000000015,8556.0
24.90000000000001,55.75,8556.0
25.120000000000005,56.80999999999949,8556.0
25.44,55.10000000000037,5079.0
25.66,56.18000000000029,5079.0
25.879999999999995,57.720000000000255,5079.0
26.099999999999994,58.45000000000073,5079.0
26.42,58.409999999999854,3203.0
26.64,58.77000000000044,3203.0
26.89,59.77000000000044,3203.0
27.209999999999997,59.72999999999956,3203.0
27.430000000000007,60.42000000000007,2387.0
27.64,60.80999999999949,2387.0
27.97,61.57999999999993,2387.0
28.19,62.38999999999942,2387.0
28.41,62.52000000000044,1790.0
28.730000000000004,62.64999999999964,1790.0
28.950000000000003,64.03999999999996,1790.0
29.17,64.95000000000073,1790.0
29.510000000000005,66.03000000000065,1304.0
29.730000000000004,66.59000000000015,1304.0
29.950000000000003,67.01000000000022,1304.0
30.17,67.97000000000025,1304.0
30.489999999999995,67.42000000000007,1082.0
30.709999999999997,66.36999999999989,1082.0
30.930000000000007,67.01000000000022,1082.0
31.25,67.85000000000036,1082.0
31.47,68.30000000000018,901.0
31.790000000000006,68.69000000000051,901.0
32.010000000000005,68.44000000000051,901.0
32.239999999999995,68.89999999999964,901.0
32.459999999999994,69.03999999999996,734.0
32.790000000000006,68.61999999999989,734.0
33.0,69.47999999999956,734.0
33.22,71.02000000000044,734.0
33.55,70.34000000000015,589.0
33.760000000000005,70.10000000000036,589.0
33.989999999999995,69.22000000000025,589.0
34.31999999999999,69.30999999999949,589.0
34.540000000000006,69.88000000000011,528.0
34.760000000000005,70.05000000000018,528.0
35.08,70.02000000000044,528.0
35.3,70.06999999999971,528.0
35.52,69.72999999999956,461.0
35.84,68.78000000000065,461.0
36.06999999999999,69.17000000000007,461.0
36.290000000000006,69.01000000000022,461.0
36.620000000000005,69.18000000000029,410.0
36.84,68.32999999999993,410.0
37.06,67.18000000000029,410.0
37.38,65.64999999999964,410.0
37.6,64.05999999999949,369.0
37.81,63.20000000000073,369.0
38.14,62.38999999999942,369.0
38.36,62.280000000000655,369.0
38.58,62.03999999999997,323.0
38.81,61.38000000000011,323.0
39.14,61.35000000000037,323.0
39.35,62.11999999999989,323.0
39.68000000000001,63.11999999999989,280.0
39.89,64.38999999999942,280.0
40.11,66.22000000000025,280.0
40.33,66.67000000000007,280.0
40.650000000000006,67.47999999999956,253.0
40.89,68.05999999999949,253.0
41.120000000000005,68.31999999999971,253.0
41.34,70.05000000000018,253.0
41.68000000000001,70.45000000000073,237.0
41.89,69.70000000000073,237.0
42.11,69.30000000000018,237.0
42.45,69.10000000000036,237.0
42.67,68.96000000000004,221.0
42.88,68.85000000000036,221.0
43.21,69.48999999999978,221.0
43.43000000000001,69.80999999999949,221.0
43.650000000000006,70.46000000000004,208.0
43.97,69.06999999999971,208.0
44.19,68.80999999999949,208.0
44.41,69.68000000000029,208.0
44.74,69.92000000000007,197.0
44.95,69.44000000000051,197.0
45.17,68.70000000000073,197.0
45.5,68.53000000000065,197.0
45.75,66.78000000000065,192.0
45.96,66.02000000000044,192.0
46.18000000000001,64.78999999999996,192.0
46.510000000000005,64.48999999999978,192.0
46.73,63.96000000000004,173.0
46.95,63.55000000000018,173.0
47.27,63.35000000000037,173.0
47.49,62.88999999999942,173.0
47.71,62.57999999999993,166.0
48.040000000000006,62.14999999999964,166.0
48.260000000000005,62.64999999999964,166.0
48.47,63.05000000000018,166.0
48.8,63.47999999999956,162.0
49.02,63.659999999999854,162.0
49.24,64.20000000000073,162.0
49.56999999999999,64.31999999999971,162.0
49.790000000000006,64.80999999999949,151.0
50.010000000000005,66.18000000000029,151.0
50.33,67.55000000000018,151.0
50.55,68.61999999999989,151.0
50.77,70.03999999999996,146.0
51.1,70.03999999999996,146.0
51.31,70.59000000000015,146.0
51.53,71.31999999999971,146.0
51.870000000000005,71.42000000000007,139.0
52.09,71.38000000000011,139.0
52.3,71.52000000000044,139.0
52.63,71.13999999999942,139.0
52.85,71.38999999999942,130.0
53.06999999999999,71.39999999999964,130.0
53.39,70.20000000000073,130.0
53.61,69.51000000000022,130.0
53.83,68.70000000000073,122.0
54.06,68.94000000000051,122.0
54.38,68.98999999999978,122.0
54.6,69.09000000000015,122.0
54.92,68.56999999999971,119.0
55.14,68.57999999999993,119.0
55.36,67.78999999999996,119.0
55.58,67.57999999999993,119.0
55.900000000000006,68.30999999999949,112.0
56.13,69.27000000000044,112.0
56.35,70.39999999999964,112.0
56.68000000000001,69.88000000000011,112.0
56.89,68.48999999999978,109.0
57.11,67.22999999999956,109.0
57.45,67.15999999999985,109.0
57.66,66.26000000000022,109.0
57.88,65.28000000000065,106.0
58.21,64.80999999999949,106.0
58.43000000000001,64.63000000000011,106.0
58.64,64.47000000000025,106.0
58.97,63.720000000000255,98.0
59.19,63.19000000000051,98.0
59.42,64.30999999999949,98.0
