Time (s),TCD (mV),TVOC (ppb)
0.20000000000000284,52.8100000000004,3.0
0.4099999999999966,56.10999999999967,3.0
0.6300000000000026,65.47999999999956,3.0
0.9500000000000028,76.13000000000011,3.0
1.1700000000000017,412.6800000000003,3.0
1.3800000000000026,939.52,3.0
1.7199999999999989,1428.11,3.0
1.9399999999999977,1586.1799999999998,10.0
2.1599999999999966,1930.26,10.0
2.479999999999997,2349.28,10.0
2.700000000000003,2890.02,10.0
2.9299999999999997,3040.24,473.0
3.25,3006.1,473.0
3.469999999999999,2972.63,473.0
3.6899999999999977,2640.54,473.0
4.009999999999998,2120.58,4006.0
4.240000000000002,1639.64,4006.0
4.460000000000001,1487.27,4006.0
4.780000000000001,1149.04,4006.0
5.0,735.6800000000003,8083.0
5.210000000000001,200.02000000000044,8083.0
5.539999999999999,51.43000000000029,8083.0
5.770000000000003,78.51000000000022,8083.0
5.990000000000002,101.98999999999978,9265.0
6.310000000000002,97.47999999999956,9265.0
6.530000000000001,92.96000000000004,9265.0
6.75,87.89999999999964,9265.0
7.07,82.10999999999967,8432.0
7.289999999999999,77.59000000000015,8432.0
7.520000000000003,70.44999999999982,8432.0
7.740000000000002,66.14000000000033,8432.0
8.07,62.47999999999956,7138.0
8.280000000000001,60.01000000000022,7138.0
8.5,59.26999999999953,7138.0
8.829999999999998,61.01999999999953,7138.0
9.04,62.60000000000037,6503.0
9.380000000000003,64.39000000000033,6503.0
9.600000000000001,67.43000000000029,6503.0
9.810000000000002,68.77999999999975,6503.0
10.030000000000001,71.17000000000007,5977.0
10.36,71.55000000000018,5977.0
10.579999999999998,70.51999999999953,5977.0
10.79,70.44999999999982,5977.0
11.130000000000003,70.59000000000015,5480.0
11.350000000000001,70.25,5480.0
11.57,68.10000000000036,5480.0
11.89,66.68000000000029,5480.0
12.11,65.22000000000025,4873.0
12.329999999999998,64.11999999999989,4873.0
12.659999999999997,63.82999999999993,4873.0
12.869999999999997,65.10000000000036,4873.0
13.090000000000003,66.64000000000033,4292.0
13.420000000000002,69.88000000000011,4292.0
13.630000000000003,68.73999999999978,4292.0
13.850000000000001,68.67000000000007,4292.0
14.189999999999998,70.26999999999953,3730.0
14.409999999999997,71.78999999999996,3730.0
14.619999999999997,71.3100000000004,3730.0
14.950000000000003,72.61999999999989,3730.0
15.18,72.4399999999996,3168.0
15.399999999999999,71.51000000000022,3168.0
15.71,71.1899999999996,3168.0
15.950000000000003,68.43000000000029,3168.0
16.159999999999997,72.47000000000025,2909.0
16.490000000000002,75.0600000000004,2909.0
16.71,76.67000000000007,2909.0
16.92,78.05000000000018,2909.0
17.25,80.01999999999953,2625.0
17.46,78.89000000000033,2625.0
17.68,79.9399999999996,2625.0
17.9,80.51000000000022,2625.0
18.240000000000002,80.81999999999971,2374.0
18.46,82.27999999999975,2374.0
18.67,79.8100000000004,2374.0
19.0,77.0600000000004,2374.0
19.21,75.21000000000004,2150.0
19.439999999999998,72.97999999999956,2150.0
19.770000000000003,73.14999999999964,2150.0
19.990000000000002,73.5,2150.0
20.21,73.65999999999985,1933.0
20.53,75.15999999999985,1933.0
20.75,76.82999999999993,1933.0
20.96,77.85999999999967,1933.0
21.29,80.23999999999978,1699.0
21.520000000000003,83.55000000000018,1699.0
21.740000000000002,85.73999999999978,1699.0
22.060000000000002,87.55999999999949,1699.0
22.28,87.81999999999971,1506.0
22.5,89.02000000000044,1506.0
22.82,91.15999999999984,1506.0
23.04,92.46000000000004,1506.0
23.270000000000003,92.84000000000016,1321.0
23.590000000000003,93.13000000000012,1321.0
23.810000000000002,93.11999999999988,1321.0
24.019999999999996,93.61999999999988,1321.0
24.370000000000005,94.23999999999978,1198.0
24.58,95.63000000000012,1198.0
24.799999999999997,97.30999999999948,1198.0
25.120000000000005,98.43000000000028,1198.0
25.340000000000003,97.96000000000004,1082.0
25.560000000000002,96.61000000000058,1082.0
25.790000000000006,97.71000000000004,1082.0
26.11,98.53999999999996,1082.0
26.33,99.72999999999956,992.0
26.650000000000006,98.55999999999948,992.0
26.879999999999995,97.82999999999991,992.0
27.090000000000003,96.19000000000052,992.0
27.42,94.13999999999942,894.0
27.64,90.93000000000028,894.0
27.849999999999994,86.52999999999975,894.0
28.090000000000003,82.63000000000011,894.0
28.409999999999997,77.56999999999971,810.0
28.629999999999995,74.10999999999967,810.0
28.849999999999994,70.64000000000033,810.0
29.180000000000007,70.06999999999971,810.0
29.39,70.23999999999978,708.0
29.61,72.68000000000029,708.0
29.930000000000007,76.14999999999964,708.0
30.150000000000006,78.23999999999978,708.0
30.379999999999995,80.51999999999953,628.0
30.709999999999994,84.27999999999975,628.0
30.930000000000007,87.80000000000018,628.0
31.14,90.75,628.0
31.47,90.75,547.0
31.689999999999998,89.52000000000044,547.0
31.909999999999997,84.73999999999978,547.0
32.230000000000004,78.93000000000029,547.0
32.45,73.81999999999971,503.0
32.68000000000001,70.64000000000033,503.0
33.0,68.40999999999985,503.0
33.22,65.07999999999993,503.0
33.44,61.89000000000033,458.0
33.760000000000005,58.44999999999982,458.0
33.980000000000004,57.1899999999996,458.0
34.2,54.5,458.0
34.519999999999996,54.94999999999982,417.0
34.760000000000005,58.07999999999993,417.0
34.97,60.69999999999982,417.0
35.19,64.51999999999953,417.0
35.510000000000005,69.40999999999985,383.0
35.730000000000004,74.21000000000004,383.0
36.06,78.60000000000036,383.0
36.28,82.85999999999967,383.0
36.5,88.11000000000058,330.0
36.81999999999999,93.94000000000052,330.0
37.06,99.67000000000009,330.0
37.269999999999996,101.68000000000028,330.0
37.489999999999995,103.21000000000004,306.0
37.81999999999999,104.73999999999978,306.0
38.03,104.51000000000022,306.0
38.25,103.94999999999982,306.0
38.58,103.93000000000028,263.0
38.790000000000006,103.75,263.0
39.010000000000005,102.78999999999996,263.0
39.34,101.47999999999956,263.0
39.56999999999999,99.86000000000058,244.0
39.790000000000006,98.13999999999942,244.0
40.019999999999996,96.84000000000016,244.0
40.349999999999994,94.80999999999948,244.0
40.56999999999999,92.63999999999942,220.0
40.89,92.15999999999984,220.0
41.11,90.98999999999978,220.0
41.31999999999999,89.98999999999978,220.0
41.650000000000006,88.77000000000044,204.0
41.879999999999995,89.39999999999964,204.0
42.120000000000005,89.42000000000007,204.0
42.33,89.55999999999949,204.0
42.66,87.78999999999996,192.0
42.879999999999995,86.77000000000044,192.0
43.099999999999994,85.61000000000058,192.0
43.42,82.35000000000036,192.0
43.64,80.27999999999975,175.0
43.86,78.5600000000004,175.0
44.19,76.56999999999971,175.0
44.41,73.53999999999996,175.0
44.620000000000005,70.6899999999996,153.0
44.95,67.80000000000018,153.0
45.17,66.5,153.0
45.39,64.6899999999996,153.0
45.709999999999994,63.470000000000255,146.0
45.93000000000001,62.970000000000255,146.0
46.16,61.4399999999996,146.0
46.400000000000006,57.89999999999964,146.0
46.739999999999995,55.07999999999993,135.0
46.959999999999994,52.63000000000011,135.0
47.18000000000001,50.85999999999967,135.0
47.400000000000006,48.61999999999989,135.0
47.72,45.97999999999956,119.0
47.94,44.30000000000018,119.0
48.16,42.85999999999967,119.0
48.489999999999995,41.18000000000029,119.0
48.7,39.05000000000018,110.0
48.92,38.4399999999996,110.0
49.25,38.55000000000018,110.0
49.47,37.42000000000007,110.0
49.790000000000006,35.10999999999967,101.0
50.010000000000005,33.22999999999956,101.0
50.239999999999995,30.46000000000004,101.0
50.45,27.40999999999985,101.0
50.78,24.89999999999964,90.0
51.0,22.98999999999978,90.0
51.230000000000004,21.479999999999563,90.0
51.55,19.71000000000004,90.0
51.769999999999996,17.859999999999673,78.0
51.980000000000004,17.31999999999971,78.0
52.31,17.5,78.0
52.53,18.039999999999964,78.0
52.75,20.85999999999968,79.0
53.08,22.479999999999563,79.0
53.3,22.090000000000146,79.0
53.510000000000005,22.43000000000029,79.0
53.84,23.23999999999978,64.0
54.06,24.079999999999927,64.0
54.290000000000006,24.47000000000025,64.0
54.510000000000005,24.050000000000185,64.0
54.83,23.289999999999964,57.0
55.05,21.550000000000185,57.0
55.370000000000005,18.350000000000364,57.0
55.59,15.680000000000293,57.0
55.81999999999999,13.829999999999927,53.0
56.040000000000006,11.409999999999854,53.0
56.36,7.769999999999527,53.0
56.58,4.960000000000036,53.0
56.900000000000006,1.4099999999998545,39.0
57.120000000000005,-2.0299999999997453,39.0
57.34,-5.350000000000364,39.0
57.56999999999999,-7.670000000000073,39.0
57.900000000000006,-9.5,29.0
58.120000000000005,-11.0600000000004,29.0
58.33,-12.510000000000218,29.0
58.66,-13.5600000000004,29.0
58.870000000000005,-14.180000000000293,27.0
59.09,-14.350000000000364,27.0
59.42,-15.0,27.0
59.64,-15.149999999999636,27.0
59.849999999999994,-15.569999999999707,22.0
60.19,-15.100000000000364,22.0
60.41,-14.329999999999927,22.0
60.629999999999995,-12.859999999999673,22.0
60.95,-11.220000000000256,22.0
61.17,-10.029999999999744,22.0
61.39,-8.600000000000364,22.0
61.72,-8.930000000000291,22.0
61.94,-9.050000000000182,6.0
62.150000000000006,-8.1899999999996,6.0
62.480000000000004,-7.850000000000364,6.0
62.7,-7.890000000000327,6.0
62.92,-8.25,10.0
63.25,-9.0,10.0
63.47,-8.140000000000327,10.0
63.69,-8.38000000000011,10.0
64.02,-8.859999999999673,0.0
64.23,-8.600000000000364,0.0
64.45,-5.800000000000182,0.0
64.78,-4.0,0.0
65.01,-0.0100000000002182,0.0
65.23,3.930000000000291,0.0
65.46,6.800000000000182,0.0
65.79,9.460000000000036,0.0
