Time (s),TCD (mV),TVOC (ppb)
0.020000000000003126,-42.52000000000044,4.0
0.240000000000002,-51.84000000000015,4.0
0.46999999999999886,-24.969999999999345,4.0
0.8100000000000023,14.909999999999854,0.0
1.0300000000000011,76.48999999999978,0.0
1.25,126.68000000000028,0.0
1.5700000000000003,216.83,0.0
1.7899999999999991,329.78000000000065,1.0
2.009999999999998,422.46,1.0
2.3500000000000014,488.0,1.0
2.5799999999999983,552.9799999999996,1.0
2.799999999999997,606.6900000000005,4.0
3.020000000000003,598.46,4.0
3.3400000000000034,561.9799999999996,4.0
3.5600000000000023,500.8500000000004,4.0
3.8800000000000026,454.8199999999997,0.0
4.100000000000001,369.8900000000003,0.0
4.32,267.1400000000003,0.0
4.539999999999999,183.64999999999964,0.0
4.859999999999999,126.86000000000058,0.0
5.100000000000001,68.38000000000011,0.0
5.310000000000002,27.539999999999964,0.0
5.640000000000001,14.149999999999636,0.0
5.859999999999999,11.890000000000327,0.0
6.07,6.659999999999855,0.0
6.399999999999999,1.950000000000728,0.0
6.619999999999997,-5.369999999999891,0.0
6.829999999999998,-18.93000000000029,1.0
7.159999999999997,-23.850000000000364,1.0
7.390000000000001,-25.38999999999941,1.0
7.609999999999999,-26.36999999999989,1.0
7.93,-31.289999999999964,1.0
8.149999999999999,-37.02000000000044,1.0
8.36,-42.63000000000011,1.0
8.700000000000003,-46.85999999999967,1.0
8.920000000000002,-47.43000000000029,1.0
9.130000000000003,-42.84000000000015,1.0
9.46,-34.340000000000146,1.0
9.68,-32.93000000000029,1.0
9.89,-33.51000000000022,3.0
10.240000000000002,-33.54999999999927,3.0
10.450000000000003,-30.88999999999941,3.0
10.670000000000002,-27.539999999999964,3.0
11.0,-21.13999999999941,4.0
11.21,-17.219999999999345,4.0
11.43,-15.44000000000051,4.0
11.770000000000003,-18.23999999999978,4.0
11.979999999999997,-16.219999999999345,0.0
12.200000000000003,-15.36999999999989,0.0
12.420000000000002,-14.36999999999989,0.0
12.75,-13.149999999999636,0.0
12.96,-10.229999999999563,5.0
13.18,-9.920000000000073,5.0
13.520000000000003,-12.920000000000073,5.0
13.729999999999997,-8.69000000000051,5.0
